date,Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
2026-06-30,Capesize 5TC FFA 180kt Timecharter Average M Jun 26,C5TCM M26 INDEX,C5TCM M26,200.0,35454.0,7090800.0,24.36%
2026-06-30,Capesize 5TC FFA 180kt Timecharter Average M Jul 26,C5TCM N26 INDEX,C5TCM N26,165.0,27864.0,4597560.0,15.80%
2026-06-30,Capesize 5TC FFA 180kt Timecharter Average M Aug 26,C5TCM Q26 INDEX,C5TCM Q26,165.0,29907.0,4934655.0,16.96%
2026-06-30,Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,165.0,32675.0,5391375.0,18.52%
2026-06-30,Panamax 5TC FFA 82kt Timecharter Average M Jun 26,P5TCM M26 INDEX,P5TCM M26,275.0,19739.0,5428225.0,18.65%
2026-06-30,Panamax 5TC FFA 82kt Timecharter Average M Jul 26,P5TCM N26 INDEX,P5TCM N26,205.0,19164.0,3928620.0,13.50%
2026-06-30,Panamax 5TC FFA 82kt Timecharter Average M Aug 26,P5TCM Q26 INDEX,P5TCM Q26,205.0,18825.0,3859125.0,13.26%
2026-06-30,Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,18696.0,3832680.0,13.17%
2026-06-30,Supramax 58 TC FFA 58kt Timecharter Average M Jun 26,S58FM M26 INDEX,S58FM M26,75.0,18845.0,1413375.0,4.86%
2026-06-30,Supramax 58 TC FFA 58kt Timecharter Average M Jul 26,S58FM N26 INDEX,S58FM N26,55.0,18689.0,1027895.0,3.53%
2026-06-30,Supramax 58 TC FFA 58kt Timecharter Average M Aug 26,S58FM Q26 INDEX,S58FM Q26,55.0,18221.0,1002155.0,3.44%
2026-06-30,Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,17900.0,984500.0,3.38%
2026-06-30,Cash & Other,Cash&Other,Cash&Other,23495778.3,1.0,23495778.3,80.73%
2026-06-30,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,5605617.87,100.0,5605617.87,19.26%
2026-07-01,Capesize 5TC FFA 180kt Timecharter Average M Jul 26,C5TCM N26 INDEX,C5TCM N26,165.0,29632.0,4889280.0,16.30%
2026-07-01,Capesize 5TC FFA 180kt Timecharter Average M Aug 26,C5TCM Q26 INDEX,C5TCM Q26,165.0,31300.0,5164500.0,17.22%
2026-07-01,Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,165.0,33486.0,5525190.0,18.42%
2026-07-01,Panamax 5TC FFA 82kt Timecharter Average M Jul 26,P5TCM N26 INDEX,P5TCM N26,205.0,19593.0,4016565.0,13.39%
2026-07-01,Panamax 5TC FFA 82kt Timecharter Average M Aug 26,P5TCM Q26 INDEX,P5TCM Q26,205.0,19075.0,3910375.0,13.03%
2026-07-01,Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,18804.0,3854820.0,12.85%
2026-07-01,Supramax 58 TC FFA 58kt Timecharter Average M Jul 26,S58FM N26 INDEX,S58FM N26,55.0,19143.0,1052865.0,3.51%
2026-07-01,Supramax 58 TC FFA 58kt Timecharter Average M Aug 26,S58FM Q26 INDEX,S58FM Q26,55.0,18871.0,1037905.0,3.46%
2026-07-01,Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,18332.0,1008260.0,3.36%
2026-07-01,Cash & Other,Cash&Other,Cash&Other,25567786.76,1.0,25567786.76,85.23%
2026-07-01,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,4429727.87,100.0,4429727.87,14.77%
