date,Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
2026-07-06,TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,20.0,27.256,545120.0,3.11%
2026-07-06,Cash & Other,Cash&Other,Cash&Other,15325812.0,1.0,15325812.0,87.33%
2026-07-06,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,2221413.59,100.0,2221413.59,12.66%
2026-07-07,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jul 26,DD3CM N26 INDEX,DD3CM N26,120.0,57.606,6912720.0,35.23%
2026-07-07,TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,135.0,50.179,6774165.0,34.52%
2026-07-07,TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,135.0,46.154,6230790.0,31.75%
2026-07-07,TD20 FFA 130kt West Africa to Continent USD/MT M Jul 26,DD20M N26 INDEX,DD20M N26,20.0,38.119,762380.0,3.88%
2026-07-07,TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,20.0,30.121,602420.0,3.07%
2026-07-07,TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,20.0,27.196,543920.0,2.77%
2026-07-07,Cash & Other,Cash&Other,Cash&Other,17559556.86,1.0,17559556.86,89.48%
2026-07-07,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,2221413.59,100.0,2221413.59,11.32%
2026-07-08,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jul 26,DD3CM N26 INDEX,DD3CM N26,110.0,60.765,6684150.0,33.73%
2026-07-08,TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,125.0,54.868,6858500.0,34.61%
2026-07-08,TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,125.0,47.509,5938625.0,29.97%
2026-07-08,TD20 FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,10.0,46.556,465560.0,2.35%
2026-07-08,TD20 FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,10.0,45.924,459240.0,2.32%
