date,index_name,index_code,close,open,high,low,volume,change_pct
2008-09-30,Capital Link Container,CLCI,2606.11,2606.11,2606.11,2606.11,0.0,0.7072
2008-10-01,Capital Link Container,CLCI,2484.66,2484.66,2484.66,2484.66,0.0,-4.6602
2008-10-02,Capital Link Container,CLCI,2473.28,2473.28,2473.28,2473.28,0.0,-0.458
2008-10-03,Capital Link Container,CLCI,2282.42,2282.42,2282.42,2282.42,0.0,-7.7169
2008-10-06,Capital Link Container,CLCI,2257.15,2257.15,2257.15,2257.15,0.0,-1.1072
2008-10-07,Capital Link Container,CLCI,2243.06,2243.06,2243.06,2243.06,0.0,-0.6242
2008-10-08,Capital Link Container,CLCI,2092.57,2092.57,2092.57,2092.57,0.0,-6.7091
2008-10-09,Capital Link Container,CLCI,2155.69,2155.69,2155.69,2155.69,0.0,3.0164
2008-10-10,Capital Link Container,CLCI,2450.55,2450.55,2450.55,2450.55,0.0,13.6782
2008-10-13,Capital Link Container,CLCI,2427.86,2427.86,2427.86,2427.86,0.0,-0.9259
2008-10-14,Capital Link Container,CLCI,2201.88,2201.88,2201.88,2201.88,0.0,-9.3078
2008-10-15,Capital Link Container,CLCI,2282.07,2282.07,2282.07,2282.07,0.0,3.6419
2008-10-16,Capital Link Container,CLCI,2154.41,2154.41,2154.41,2154.41,0.0,-5.594
2008-10-17,Capital Link Container,CLCI,2205.58,2205.58,2205.58,2205.58,0.0,2.3751
2008-10-20,Capital Link Container,CLCI,2132.35,2132.35,2132.35,2132.35,0.0,-3.3202
2008-10-21,Capital Link Container,CLCI,1972.19,1972.19,1972.19,1972.19,0.0,-7.511
2008-10-22,Capital Link Container,CLCI,1878.09,1878.09,1878.09,1878.09,0.0,-4.7713
2008-10-23,Capital Link Container,CLCI,1710.61,1710.61,1710.61,1710.61,0.0,-8.9176
2008-10-24,Capital Link Container,CLCI,1605.49,1605.49,1605.49,1605.49,0.0,-6.1452
2008-10-27,Capital Link Container,CLCI,1617.16,1617.16,1617.16,1617.16,0.0,0.7269
2008-10-28,Capital Link Container,CLCI,1736.23,1736.23,1736.23,1736.23,0.0,7.3629
2008-10-29,Capital Link Container,CLCI,1872.86,1872.86,1872.86,1872.86,0.0,7.8693
2008-10-30,Capital Link Container,CLCI,1941.09,1941.09,1941.09,1941.09,0.0,3.6431
2008-10-31,Capital Link Container,CLCI,1956.07,1956.07,1956.07,1956.07,0.0,0.7717
2008-11-03,Capital Link Container,CLCI,1912.84,1912.84,1912.84,1912.84,0.0,-2.21
2008-11-04,Capital Link Container,CLCI,1779.01,1779.01,1779.01,1779.01,0.0,-6.9964
2008-11-05,Capital Link Container,CLCI,1655.57,1655.57,1655.57,1655.57,0.0,-6.9387
2008-11-06,Capital Link Container,CLCI,1713.66,1713.66,1713.66,1713.66,0.0,3.5088
2008-11-07,Capital Link Container,CLCI,1679.47,1679.47,1679.47,1679.47,0.0,-1.9951
2008-11-10,Capital Link Container,CLCI,1658.43,1658.43,1658.43,1658.43,0.0,-1.2528
2008-11-11,Capital Link Container,CLCI,1554.64,1554.64,1554.64,1554.64,0.0,-6.2583
2008-11-12,Capital Link Container,CLCI,1729.41,1729.41,1729.41,1729.41,0.0,11.2418
2008-11-13,Capital Link Container,CLCI,1723.09,1723.09,1723.09,1723.09,0.0,-0.3654
2008-11-14,Capital Link Container,CLCI,1674.41,1674.41,1674.41,1674.41,0.0,-2.8252
2008-11-17,Capital Link Container,CLCI,1639.51,1639.51,1639.51,1639.51,0.0,-2.0843
2008-11-18,Capital Link Container,CLCI,1494.13,1494.13,1494.13,1494.13,0.0,-8.8673
2008-11-19,Capital Link Container,CLCI,1319.19,1319.19,1319.19,1319.19,0.0,-11.7085
2008-11-20,Capital Link Container,CLCI,1317.29,1317.29,1317.29,1317.29,0.0,-0.144
2008-11-21,Capital Link Container,CLCI,1433.99,1433.99,1433.99,1433.99,0.0,8.8591
2008-11-24,Capital Link Container,CLCI,1472.95,1472.95,1472.95,1472.95,0.0,2.7169
2008-11-25,Capital Link Container,CLCI,1494.69,1494.69,1494.69,1494.69,0.0,1.4759
2008-11-26,Capital Link Container,CLCI,1569.28,1569.28,1569.28,1569.28,0.0,4.9903
2008-11-28,Capital Link Container,CLCI,1348.44,1348.44,1348.44,1348.44,0.0,-14.0727
2008-12-01,Capital Link Container,CLCI,1451.16,1451.16,1451.16,1451.16,0.0,7.6177
2008-12-02,Capital Link Container,CLCI,1501.37,1501.37,1501.37,1501.37,0.0,3.46
2008-12-03,Capital Link Container,CLCI,1463.83,1463.83,1463.83,1463.83,0.0,-2.5004
