id,unit,rate_type,rate_subtype,route,count,min_date,max_date
370,tce,TANK,VLCC,NSEA/USG,1353,2018-05-18,2023-04-25
374,tce,TANK,VLCC,NSEA/FEAST,1353,2018-05-18,2023-04-25
378,tce,TANK,VLCC,NSEA/WCI,1353,2018-05-18,2023-04-25
382,tce,TANK,VLCC,WEST DEMURRAGE,1353,2018-05-18,2023-04-25
386,tce,TANK,VLCC,EAST DEMURRAGE,1353,2018-05-18,2023-04-25
398,tce,TANK,Suezmax,BOT(L)/UKCM,1353,2018-05-18,2023-04-25
402,tce,TANK,Suezmax,BOT(H)/UKCM,1352,2018-05-18,2023-04-25
406,tce,TANK,Suezmax,MEG/EAST (+15 YR),1352,2018-05-18,2023-04-25
410,tce,TANK,Suezmax,MEG/EAST (MODERN),1352,2018-05-18,2023-04-25
414,tce,TANK,Suezmax,WAFR/USG,1352,2018-05-18,2023-04-25
418,tce,TANK,Suezmax,WAFR/UKC,1352,2018-05-18,2023-04-25
422,tce,TANK,Suezmax,WAFR/WCI,1352,2018-05-18,2023-04-25
426,tce,TANK,Suezmax,NSEA/USG,1352,2018-05-18,2023-04-25
430,tce,TANK,Suezmax,NSEA/WCI,1352,2018-05-18,2023-04-25
434,tce,TANK,Suezmax,CEYHAN/USG,1352,2018-05-18,2023-04-25
438,tce,TANK,Suezmax,NOVO/USG,1352,2018-05-18,2023-04-25
442,tce,TANK,Suezmax,BLSEA/MED,1352,2018-05-18,2023-04-25
446,tce,TANK,Suezmax,CROSS MED,1352,2018-05-18,2023-04-25
450,tce,TANK,Suezmax,CROSS NSEA,1352,2018-05-18,2023-04-25
454,tce,TANK,Suezmax,CEYHAN/UKC,1352,2018-05-18,2023-04-25
458,tce,TANK,Suezmax,CEYHAN/WCI,1352,2018-05-18,2023-04-25
462,tce,TANK,Suezmax,WEST DEMURRAGE,1352,2018-05-18,2023-04-25
466,tce,TANK,Suezmax,EAST DEMURRAGE,1352,2018-05-18,2023-04-25
474,tce,TANK,Aframax,WCN/USG,1352,2018-05-18,2023-04-25
478,tce,TANK,Aframax,WCN/UKC,1352,2018-05-18,2023-04-25
482,tce,TANK,Aframax,WCN/MED,1352,2018-05-18,2023-04-25
486,tce,TANK,Aframax,UKC/WCI,1352,2018-05-18,2023-04-25
490,tce,TANK,Aframax,PRIMORSK/UKC,1352,2018-05-18,2023-04-25
494,tce,TANK,Aframax,PRIMORSK/USAC,1352,2018-05-18,2023-04-25
506,tce,TANK,Aframax,BLSEA/MED,1352,2018-05-18,2023-04-25
510,tce,TANK,Aframax,CEYHAN/MED,1352,2018-05-18,2023-04-25
514,tce,TANK,Aframax,CEYHAN/UKC,1352,2018-05-18,2023-04-25
518,tce,TANK,Aframax,CEYHAN/USG,1352,2018-05-18,2023-04-25
522,tce,TANK,Aframax,BLSEA/USG,1351,2018-05-18,2023-04-25
530,tce,TANK,Aframax,WAF/USG,1351,2018-05-18,2023-04-25
562,tce,TANK,Aframax,CBS/USG,1351,2018-05-18,2023-04-25
572,ws,TANK,Aframax,PRIMORSK/MED,1177,2021-06-08,2026-08-07
313,ws,TANK,SUEZMAX-MARKET,BITR-3,1119,2020-04-01,2023-05-22
314,tce,TANK,SUEZMAX-MARKET,BITR-3,1115,2020-04-01,2023-04-25
9724,tce,TANK,BALTIC INDEX,BALT/UKC,1050,2019-02-12,2023-04-25
9725,tce,TANK,BALTIC INDEX,MEG/CHINA,1050,2019-02-12,2023-04-25
9726,ws,TANK,BALTIC INDEX,MEG/USG,1050,2019-02-12,2023-04-25
9727,ws,TANK,BALTIC INDEX,WAFR/CHINA,1050,2019-02-12,2023-04-25
9728,tce,TANK,BALTIC INDEX,WAFR/CHINA,1050,2019-02-12,2023-04-25
9729,ws,TANK,BALTIC INDEX,NSEA/UKC,1050,2019-02-12,2023-04-25
9730,tce,TANK,BALTIC INDEX,NSEA/UKC,1050,2019-02-12,2023-04-25
9731,ws,TANK,BALTIC INDEX,BLSEA/MED,1050,2019-02-12,2023-04-25
9732,tce,TANK,BALTIC INDEX,BLSEA/MED,1050,2019-02-12,2023-04-25
9733,ws,TANK,BALTIC INDEX,CEYHAN/MED,1050,2019-02-12,2023-04-25
9734,tce,TANK,BALTIC INDEX,CEYHAN/MED,1050,2019-02-12,2023-04-25
9735,ws,TANK,BALTIC INDEX,BONNY/ROTT,1050,2019-02-12,2023-04-25
9736,tce,TANK,BALTIC INDEX,BONNY/ROTT,1050,2019-02-12,2023-04-25
