date,portid,portname,country,hub_code,daily_port_calls_total,daily_port_calls_dry_bulk,daily_port_calls_tanker,daily_port_calls_container,import_dry_bulk_kt,export_dry_bulk_kt,import_tanker_kt,export_tanker_kt
2019-04-20,port1069,Qingdao Port,China,port1069,33.0,3.0,3.0,20.0,395.56,4.46,437.25,0.94
2019-04-21,port1069,Qingdao Port,China,port1069,10.0,1.0,0.0,7.0,21.73,0.0,0.0,0.0
2019-04-22,port1069,Qingdao Port,China,port1069,1.0,1.0,0.0,0.0,143.47,1.38,0.0,0.0
2019-04-23,port1069,Qingdao Port,China,port1069,24.0,4.0,0.0,19.0,257.76,0.0,0.0,0.0
2019-04-24,port1069,Qingdao Port,China,port1069,29.0,6.0,1.0,14.0,281.3,4.46,152.83,0.0
2019-04-25,port1069,Qingdao Port,China,port1069,17.0,2.0,2.0,12.0,91.21,0.0,273.87,11.65
2019-04-26,port1069,Qingdao Port,China,port1069,31.0,2.0,0.0,26.0,182.48,38.39,0.0,0.0
2019-04-27,port1069,Qingdao Port,China,port1069,36.0,6.0,3.0,26.0,311.58,18.92,336.82,0.0
2019-04-28,port1069,Qingdao Port,China,port1069,29.0,1.0,6.0,22.0,199.2,0.0,132.07,55.21
2019-04-29,port1069,Qingdao Port,China,port1069,22.0,2.0,1.0,15.0,55.34,4.46,0.0,288.98
2019-04-30,port1069,Qingdao Port,China,port1069,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2019-05-01,port1069,Qingdao Port,China,port1069,5.0,2.0,1.0,2.0,112.49,0.0,0.0,4.05
2019-05-02,port1069,Qingdao Port,China,port1069,56.0,14.0,6.0,28.0,468.78,26.45,277.68,34.32
2019-05-03,port1069,Qingdao Port,China,port1069,30.0,1.0,2.0,22.0,0.0,0.0,0.0,37.83
2019-05-04,port1069,Qingdao Port,China,port1069,25.0,1.0,3.0,18.0,101.23,0.0,343.63,5.34
2019-05-05,port1069,Qingdao Port,China,port1069,30.0,6.0,3.0,18.0,382.61,8.93,97.12,0.79
2019-05-06,port1069,Qingdao Port,China,port1069,33.0,3.0,7.0,18.0,223.48,4.46,335.28,23.11
2019-05-07,port1069,Qingdao Port,China,port1069,28.0,4.0,5.0,15.0,198.14,5.32,380.46,16.57
2019-05-08,port1069,Qingdao Port,China,port1069,29.0,3.0,2.0,19.0,79.5,0.0,0.0,0.0
2019-05-09,port1069,Qingdao Port,China,port1069,23.0,2.0,6.0,13.0,217.27,0.0,328.55,11.91
2019-05-10,port1069,Qingdao Port,China,port1069,37.0,4.0,4.0,23.0,205.52,0.0,7.98,111.24
2019-05-11,port1069,Qingdao Port,China,port1069,24.0,2.0,4.0,17.0,0.0,44.29,10.94,18.9
2019-05-12,port1069,Qingdao Port,China,port1069,26.0,2.0,3.0,20.0,191.37,0.0,108.7,13.01
2019-05-13,port1069,Qingdao Port,China,port1069,24.0,2.0,5.0,14.0,242.53,0.0,108.29,9.76
2019-05-14,port1069,Qingdao Port,China,port1069,15.0,2.0,2.0,11.0,35.9,99.91,7.28,4.93
2019-05-15,port1069,Qingdao Port,China,port1069,33.0,2.0,8.0,14.0,194.53,0.0,13.76,46.5
2019-05-16,port1069,Qingdao Port,China,port1069,30.0,4.0,2.0,17.0,309.85,54.43,0.0,4.72
2019-05-17,port1069,Qingdao Port,China,port1069,32.0,2.0,6.0,20.0,69.08,0.0,127.14,13.97
2019-05-18,port1069,Qingdao Port,China,port1069,39.0,5.0,5.0,26.0,196.67,0.0,172.16,281.94
2019-05-19,port1069,Qingdao Port,China,port1069,20.0,1.0,1.0,13.0,242.28,0.0,0.0,13.01
2019-05-20,port1069,Qingdao Port,China,port1069,27.0,3.0,3.0,16.0,64.65,0.0,0.0,43.7
2019-05-21,port1069,Qingdao Port,China,port1069,31.0,3.0,4.0,16.0,265.8,0.0,64.68,11.78
2019-05-22,port1069,Qingdao Port,China,port1069,27.0,2.0,4.0,19.0,180.45,0.0,89.85,0.0
2019-05-23,port1069,Qingdao Port,China,port1069,30.0,4.0,8.0,17.0,311.17,4.95,114.22,58.37
2019-05-24,port1069,Qingdao Port,China,port1069,26.0,2.0,2.0,21.0,90.87,0.0,127.14,10.56
2019-05-25,port1069,Qingdao Port,China,port1069,26.0,1.0,2.0,18.0,80.15,0.0,107.03,5.35
2019-05-26,port1069,Qingdao Port,China,port1069,13.0,1.0,1.0,10.0,0.0,21.21,0.0,1.0
2019-05-27,port1069,Qingdao Port,China,port1069,27.0,3.0,4.0,17.0,68.06,45.03,253.9,1.41
2019-05-28,port1069,Qingdao Port,China,port1069,38.0,9.0,4.0,23.0,285.41,11.27,281.03,11.23
2019-05-29,port1069,Qingdao Port,China,port1069,37.0,4.0,7.0,18.0,56.02,121.96,8.29,71.37
2019-05-30,port1069,Qingdao Port,China,port1069,32.0,2.0,6.0,19.0,145.78,4.46,281.99,14.66
2019-05-31,port1069,Qingdao Port,China,port1069,18.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0
2019-06-01,port1069,Qingdao Port,China,port1069,41.0,7.0,3.0,28.0,319.74,8.36,8.59,42.53
2019-06-02,port1069,Qingdao Port,China,port1069,26.0,2.0,3.0,19.0,60.74,0.0,23.54,0.61
2019-06-03,port1069,Qingdao Port,China,port1069,27.0,4.0,2.0,17.0,110.68,51.7,0.0,4.39
2019-06-04,port1069,Qingdao Port,China,port1069,28.0,4.0,3.0,17.0,275.26,45.38,1.86,0.94
2019-06-05,port1069,Qingdao Port,China,port1069,4.0,0.0,3.0,0.0,0.0,0.0,101.96,0.72
2019-06-06,port1069,Qingdao Port,China,port1069,34.0,6.0,2.0,20.0,391.37,77.03,1.93,7.82
2019-06-07,port1069,Qingdao Port,China,port1069,43.0,6.0,4.0,26.0,334.16,49.4,355.4,0.12
2019-06-08,port1069,Qingdao Port,China,port1069,28.0,3.0,2.0,22.0,86.62,46.87,99.47,11.23
2019-06-09,port1069,Qingdao Port,China,port1069,39.0,3.0,5.0,25.0,40.83,0.0,178.4,10.99
2019-06-10,port1069,Qingdao Port,China,port1069,38.0,6.0,2.0,24.0,410.62,4.46,0.2,0.0
2019-06-11,port1069,Qingdao Port,China,port1069,27.0,5.0,2.0,18.0,237.06,43.87,0.0,8.99
2019-06-12,port1069,Qingdao Port,China,port1069,25.0,4.0,5.0,13.0,183.83,44.83,128.07,3.65
2019-06-13,port1069,Qingdao Port,China,port1069,28.0,4.0,1.0,17.0,228.32,25.39,98.98,0.0
2019-06-14,port1069,Qingdao Port,China,port1069,36.0,6.0,4.0,20.0,413.44,50.03,280.83,48.61
2019-06-15,port1069,Qingdao Port,China,port1069,31.0,4.0,1.0,22.0,121.37,0.0,0.0,11.74
2019-06-16,port1069,Qingdao Port,China,port1069,26.0,2.0,2.0,20.0,175.12,3.74,273.87,1.65
2019-06-17,port1069,Qingdao Port,China,port1069,27.0,7.0,3.0,16.0,430.65,4.46,0.0,15.64
2019-06-18,port1069,Qingdao Port,China,port1069,33.0,5.0,5.0,18.0,214.62,0.0,273.18,0.0
2019-06-19,port1069,Qingdao Port,China,port1069,19.0,0.0,1.0,15.0,0.0,0.0,10.7,0.0
2019-06-20,port1069,Qingdao Port,China,port1069,31.0,2.0,3.0,23.0,77.66,0.0,48.38,4.34
2019-06-21,port1069,Qingdao Port,China,port1069,24.0,4.0,3.0,16.0,211.76,17.56,0.0,13.48
2019-06-22,port1069,Qingdao Port,China,port1069,38.0,3.0,9.0,22.0,167.28,0.0,444.21,48.66
2019-06-23,port1069,Qingdao Port,China,port1069,31.0,2.0,4.0,17.0,144.81,3.74,10.93,18.9
2019-06-24,port1069,Qingdao Port,China,port1069,26.0,3.0,3.0,16.0,242.31,0.0,11.25,0.0
2019-06-25,port1069,Qingdao Port,China,port1069,27.0,3.0,2.0,19.0,55.34,15.54,192.43,0.0
2019-06-26,port1069,Qingdao Port,China,port1069,29.0,2.0,5.0,19.0,284.74,0.0,218.63,5.34
2019-06-27,port1069,Qingdao Port,China,port1069,31.0,2.0,6.0,18.0,84.38,52.96,20.76,128.39
2019-06-28,port1069,Qingdao Port,China,port1069,26.0,3.0,4.0,17.0,408.0,0.0,9.42,2.93
2019-06-29,port1069,Qingdao Port,China,port1069,33.0,3.0,4.0,23.0,240.14,4.46,178.6,74.46
2019-06-30,port1069,Qingdao Port,China,port1069,32.0,5.0,4.0,19.0,277.26,0.0,14.54,31.92
2019-07-01,port1069,Qingdao Port,China,port1069,28.0,2.0,5.0,20.0,227.01,4.46,266.35,48.96
2019-07-02,port1069,Qingdao Port,China,port1069,34.0,5.0,4.0,20.0,169.81,23.44,261.12,36.34
2019-07-03,port1069,Qingdao Port,China,port1069,31.0,8.0,4.0,14.0,324.68,42.04,90.12,33.27
2019-07-04,port1069,Qingdao Port,China,port1069,30.0,2.0,8.0,13.0,168.5,0.0,271.14,43.51
2019-07-05,port1069,Qingdao Port,China,port1069,35.0,1.0,1.0,27.0,68.73,0.0,5.94,5.34
2019-07-06,port1069,Qingdao Port,China,port1069,28.0,6.0,6.0,15.0,360.55,52.28,111.78,25.37
2019-07-07,port1069,Qingdao Port,China,port1069,28.0,2.0,2.0,21.0,118.65,0.0,9.94,11.08
2019-07-08,port1069,Qingdao Port,China,port1069,25.0,2.0,4.0,19.0,55.34,4.46,213.27,11.08
2019-07-09,port1069,Qingdao Port,China,port1069,29.0,3.0,5.0,19.0,187.48,0.0,351.84,1.19
2019-07-10,port1069,Qingdao Port,China,port1069,27.0,3.0,5.0,15.0,354.8,0.0,95.67,0.0
2019-07-11,port1069,Qingdao Port,China,port1069,36.0,3.0,5.0,20.0,206.71,16.52,98.31,45.88
2019-07-12,port1069,Qingdao Port,China,port1069,29.0,5.0,2.0,20.0,232.69,5.49,0.0,0.0
2019-07-13,port1069,Qingdao Port,China,port1069,31.0,3.0,3.0,21.0,241.05,19.8,205.75,22.16
2019-07-14,port1069,Qingdao Port,China,port1069,30.0,6.0,1.0,20.0,233.9,6.21,0.0,51.62
2019-07-15,port1069,Qingdao Port,China,port1069,26.0,5.0,4.0,12.0,429.84,4.46,104.68,50.5
2019-07-16,port1069,Qingdao Port,China,port1069,33.0,2.0,7.0,19.0,31.06,53.46,130.45,67.74
2019-07-17,port1069,Qingdao Port,China,port1069,29.0,7.0,3.0,15.0,174.28,28.87,34.03,10.2
2019-07-18,port1069,Qingdao Port,China,port1069,31.0,2.0,8.0,19.0,55.34,4.46,406.89,13.32
2019-07-19,port1069,Qingdao Port,China,port1069,30.0,4.0,0.0,18.0,369.17,0.0,0.0,0.0
2019-07-20,port1069,Qingdao Port,China,port1069,34.0,4.0,5.0,23.0,84.44,22.37,86.84,7.24
2019-07-21,port1069,Qingdao Port,China,port1069,26.0,3.0,0.0,18.0,101.11,0.0,0.0,0.0
2019-07-22,port1069,Qingdao Port,China,port1069,27.0,2.0,4.0,19.0,179.9,0.0,127.86,35.07
2019-07-23,port1069,Qingdao Port,China,port1069,24.0,4.0,1.0,17.0,291.83,4.46,0.0,0.0
2019-07-24,port1069,Qingdao Port,China,port1069,30.0,4.0,2.0,19.0,90.89,197.26,0.0,0.0
2019-07-25,port1069,Qingdao Port,China,port1069,28.0,3.0,1.0,19.0,87.9,4.46,105.26,0.0
2019-07-26,port1069,Qingdao Port,China,port1069,34.0,4.0,7.0,20.0,217.68,4.46,292.98,4.2
2019-07-27,port1069,Qingdao Port,China,port1069,28.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
2019-07-28,port1069,Qingdao Port,China,port1069,29.0,5.0,4.0,20.0,230.49,8.21,137.07,60.21
2019-07-29,port1069,Qingdao Port,China,port1069,27.0,5.0,4.0,14.0,200.43,10.13,61.65,7.44
2019-07-30,port1069,Qingdao Port,China,port1069,32.0,4.0,4.0,16.0,382.92,0.96,0.2,55.57
2019-07-31,port1069,Qingdao Port,China,port1069,29.0,5.0,5.0,18.0,396.13,32.11,77.24,37.39
2019-08-01,port1069,Qingdao Port,China,port1069,23.0,4.0,3.0,14.0,298.84,8.21,358.73,0.0
2019-08-02,port1069,Qingdao Port,China,port1069,30.0,2.0,2.0,24.0,134.25,4.46,0.0,1.18
2019-08-03,port1069,Qingdao Port,China,port1069,30.0,6.0,5.0,15.0,374.72,17.58,21.01,18.07
2019-08-04,port1069,Qingdao Port,China,port1069,40.0,5.0,2.0,29.0,436.16,6.44,276.83,0.0
2019-08-05,port1069,Qingdao Port,China,port1069,30.0,2.0,5.0,20.0,71.73,0.0,128.42,58.73
