date,portname,portid,year,month,day,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2019-01-03,Magellan Strait,chokepoint21,2019,1,3,,7,1,,,8,8,,233438,4977,,,238415,238415
2019-01-03,Makassar Strait,chokepoint20,2019,1,3,3,36,1,,6,40,46,24899,2044256,4217,,16880,2073372,2090253
2019-01-03,Malacca Strait,chokepoint5,2019,1,3,40,30,10,5,68,85,153,1206031,2121409,62542,13748,2612893,3403731,6016625
2019-01-03,Mindoro Strait,chokepoint27,2019,1,3,1,38,3,1,5,43,48,10280,2486849,14887,2617,71429,2514634,2586064
2019-01-03,Mona Passage,chokepoint24,2019,1,3,3,1,1,1,2,6,8,56703,91312,4802,4340,,157159,157159
2019-01-03,Ombai Strait,chokepoint16,2019,1,3,1,9,4,1,3,15,18,25717,1139559,38371,,132834,1203648,1336483
2019-01-03,Oresund Strait,chokepoint10,2019,1,3,4,3,20,2,16,29,45,5090,6288,15836,,25044,27215,52260
2019-01-03,Panama Canal,chokepoint2,2019,1,3,8,7,4,4,12,23,35,220816,385910,11697,8414,350677,626838,977516
2019-01-03,Strait of Hormuz,chokepoint6,2019,1,3,10,9,3,,49,22,71,428426,330114,3891,,2841667,762432,3604099
2019-01-03,Suez Canal,chokepoint1,2019,1,3,13,14,9,2,23,38,61,555097,977689,39398,10829,804257,1583014,2387272
2019-01-03,Sunda Strait,chokepoint19,2019,1,3,2,5,3,,14,10,24,27104,419341,3929,,412353,450375,862728
2019-01-03,Taiwan Strait,chokepoint11,2019,1,3,92,60,36,5,53,193,246,1761998,2220854,221187,2549,447454,4206589,4654043
2019-01-03,Torres Strait,chokepoint18,2019,1,3,2,7,1,,2,10,12,47593,247447,574,,,295616,295616
2019-01-03,Tsugaru Strait,chokepoint13,2019,1,3,3,15,,,11,18,29,144069,409483,,,32437,553553,585990
2019-01-03,Windward Passage,chokepoint23,2019,1,3,2,2,3,2,4,9,13,12338,60722,27443,3897,39654,104402,144057
2019-01-03,Yucatan Channel,chokepoint22,2019,1,3,5,9,7,2,26,23,49,33303,182525,15447,,1331086,231276,1562362
2019-01-04,Bab el-Mandeb Strait,chokepoint4,2019,1,4,12,11,3,3,18,29,47,574963,488041,10705,11512,1579891,1085222,2665114
2019-01-04,Balabac Strait,chokepoint25,2019,1,4,4,7,2,,5,13,18,19609,164049,9355,,333742,193014,526756
2019-01-04,Bering Strait,chokepoint26,2019,1,4,,1,,,,1,1,,76176,,,,76176,76176
2019-01-04,Bohai Strait,chokepoint17,2019,1,4,15,50,13,5,15,83,98,234468,2035915,28564,10782,205392,2309731,2515123
2019-01-04,Bosporus Strait,chokepoint3,2019,1,4,4,21,20,,24,45,69,33541,695052,21781,,539452,750375,1289828
2019-01-04,Cape of Good Hope,chokepoint7,2019,1,4,7,21,2,1,11,31,42,166532,1173814,3649,4762,515879,1348759,1864638
2019-01-04,Dover Strait,chokepoint9,2019,1,4,31,19,34,5,45,89,134,686938,1019762,106165,8374,698643,1821240,2519884
2019-01-04,Gibraltar Strait,chokepoint8,2019,1,4,24,28,18,5,34,75,109,762136,1178284,57372,5493,999171,2003287,3002459
2019-01-04,Kerch Strait,chokepoint28,2019,1,4,,1,6,,4,7,11,,24853,5654,,12656,30507,43163
2019-01-04,Korea Strait,chokepoint12,2019,1,4,44,26,56,8,60,134,194,935852,441078,112430,13194,459737,1502556,1962294
2019-01-04,Lombok Strait,chokepoint15,2019,1,4,,24,,,9,24,33,,1884650,,,304401,1884650,2189051
2019-01-04,Luzon Strait,chokepoint14,2019,1,4,8,40,8,1,32,57,89,122378,3650561,31973,2206,2187515,3807120,5994636
2019-01-04,Magellan Strait,chokepoint21,2019,1,4,,1,,,1,1,2,,56254,,,38181,56254,94435
