BULK CARRIER,Date,HANDYSIZE,SMAX/ULTRA,PANAMAX,CAPESIZE,
Week 37,15 Sep 2021,"33,000","34,000","34,000","40,500",Week 37|2021-09-15
Week 38,22 Sep 2021,"33,000","34,750","35,250","45,000",Week 38|2021-09-22
Week 39,29 Sep 2021,"34,500","39,000","35,750","45,000",Week 39|2021-09-29
Week 40,6 Oct 2021,"34,500","39,000","38,250","54,000",Week 40|2021-10-06
Week 41,12 Oct 2021,"34,500","39,000","38,250","54,500",Week 41|2021-10-12
Week 42,20 Oct 2021,"34,500","39,000","38,500","52,000",Week 42|2021-10-20
Week 43,28 Oct 2021,"34,500","39,000","37,500","52,000",Week 43|2021-10-28
Week 44,3 Nov 2021,"33,500","39,000","35,250","35,000",Week 44|2021-11-03
Week 45,10 Nov 2021,"33,500","38,750","31,250","28,000",Week 45|2021-11-10
Week 46,17 Nov 2021,"33,500","36,750","28,750","27,000",Week 46|2021-11-17
Week 47,24 Nov 2021,"29,500","35,750","26,750","26,000",Week 47|2021-11-24
Week 48,1 Dec 2021,"29,500","33,250","26,750","26,250",Week 48|2021-12-01
Week 49,8 Dec 2021,"29,500","30,750","28,250","27,250",Week 49|2021-12-08
Week 50,15 Dec 2021,"29,500","30,750","28,250","27,750",Week 50|2021-12-15
Week 51,22 Dec 2021,"28,000","28,500","28,000","25,750",Week 51|2021-12-22
Week 1,5 Jan 2022,"25,000","26,750","34,000","24,750",Week 1|2022-01-05
Week 2,12 Jan 2022,"22,500","25,250","34,000","24,750",Week 2|2022-01-12
Week 3,19 Jan 2022,22500,25250,34000,24750,Week 3|2022-01-19
Week 4,24 Jan 2022,22500,24000,23250,22500,Week 4|2022-01-24
Week 5,2 Feb 2022,23500,24000,23250,23500,Week 5|2022-02-02
Week 6,8 Feb 2022,19500,23500,23250,24500,Week 6|2022-02-08
Week 7,15 Feb 2022,17500,22500,24000,24500,Week 7|2022-02-15
Week 8,23 Feb 2022,20500,25500,24000,25000,Week 8|2022-02-23
Week 9,2 Mar 2022,24000,28000,23000,28000,Week 9|2022-03-02
Week 10,9 Mar 2022,25000,28000,24000,28000,Week 10|2022-03-09
Week 11,16 Mar 2022,26000,26500,29500,36000,Week 11|2022-03-16
Week 12,23 Mar 2022,26000,26500,30000,35000,Week 12|2022-03-23
Week 13,30 Mar 2022,26750,27750,30000,35000,Week 13|2022-03-30
Week 14,6 Apr 2022,26750,27000,28000,30000,Week 14|2022-04-06
Week 15,13 Apr 2022,26750,27000,28000,29000,Week 15|2022-04-13
Week 16,20 Apr 2022,26000,28500,30000,27750,Week 16|2022-04-20
Week 17,27 Apr 2022,25500,27000,30000,31000,Week 17|2022-04-27
Week 18,4 May 2022,28500,28500,29000,29500,Week 18|2022-05-04
Week 19,9 May 2022,27000,29000,29500,30000,Week 19|2022-05-09
Week 20,16 May 2022,27000,29000,30000,33500,Week 20|2022-05-16
Week 21,25 May 2022,27000,32000,30000,31000,Week 21|2022-05-25
Week 22,30 May 2022,27000,32000,30000,31000,Week 22|2022-05-30
Week 23,06 Jun 2022,27000,28500,28350,29000,Week 23|2022-06-06
Week 24,13 Jun 2022,21000,25500,24500,28500,Week 24|2022-06-13
Week 25,20 Jun 2022,22250,25000,25000,28500,Week 25|2022-06-20
Week 26,27 Jun 2022,23000,23250,25000,26000,Week 26|2022-06-27
Week 27,04 Jul 2022,22500,23250,24000,26000,Week 27|2022-07-04
Week 28,11 Jul 2022,17500,19500,24000,23750,Week 28|2022-07-11
Week 28,13 Jul 2022,17500,20000,24000,24000,Week 28|2022-07-13
Week 29,20 Jul 2022,17500,20000,24000,24000,Week 29|2022-07-20
Week 30,27 Jul 2022,17500,20000,24000,24000,Week 30|2022-07-27
Week 31,03 Aug 2022,22500,22000,18850,23000,Week 31|2022-08-03
Week 31,03 Aug 2022,22500,22000,18850,23000,Week 31|2022-08-03
Week 31,03 Aug 2022,22500,22000,18850,23000,Week 31|2022-08-03
Week 32,10 Aug 2022,18000,22000,18850,19000,Week 32|2022-08-10
Week 33,17 Aug 2022,19000,22000,19500,19000,Week 33|2022-08-17
Week 34,24 Aug 2022,18500,23000,19250,16500,Week 34|2022-08-24
Week 35,30 Aug 2022,16000,18500,19750,14500,Week 35|2022-08-30
Week 36,07 Sep 2022,16000,18500,16750,14500,Week 36|2022-09-07
Week 37,14 Sep 2022,14500,17000,21500,14500,Week 37|2022-09-14
Week 38,21 Sep 2022,17000,17750,20500,14500,Week 38|2022-09-21
Week 39,28 Sep 2022,18000,17750,20000,14500,Week 39|2022-09-28
Week 40,05 Oct 2022,18000,18000,21500,14500,Week 40|2022-10-05
Week 40,05 Oct 2022,18000,18000,21500,14500,Week 40|2022-10-05
Week 41,12 Oct 2022,18500,19250,21500,14000,Week 41|2022-10-12
Week 41,12 Oct 2022,18500,19250,21750,14000,Week 41|2022-10-12
Week 42,19 Oct 2022,18500,19250,21750,14000,Week 42|2022-10-19
Week 43,26 Oct 2022,19750,20000,21000,14000,Week 43|2022-10-26
Week 44,02 Nov 2022,19500,20000,19500,14000,Week 44|2022-11-02
Week 44,02 Nov 2022,19500,20000,19500,14000,Week 44|2022-11-02
Week 45,09 Nov 2022,18500,19500,19750,14000,Week 45|2022-11-09
Week 45,09 Nov 2022,18500,19500,19750,14000,Week 45|2022-11-09
Week 45,09 Nov 2022,18500,19500,19750,14000,Week 45|2022-11-09
Week 46,16 Nov 2022,18500,19500,19750,14000,Week 46|2022-11-16
Week 47,23 Nov 2022,18000,18000,19750,14000,Week 47|2022-11-23
Week 47,23 Nov 2022,18000,18000,19750,14000,Week 47|2022-11-23
Week 48,30 Nov 2022,16000,16000,17500,14000,Week 48|2022-11-30
Week 48,30 Nov 2022,16000,16000,17500,14000,Week 48|2022-11-30
Week 48,30 Nov 2022,16000,16000,17500,14000,Week 48|2022-11-30
Week 48,30 Nov 2022,16000,16000,17500,14000,Week 48|2022-11-30
Week 48,30 Nov 2022,16000,16000,17500,14000,Week 48|2022-11-30
Week 48,30 Nov 2022,16000,16000,17500,14000,Week 48|2022-11-30
Week 49,07 Dec 2022,13000,15500,18500,12000,Week 49|2022-12-07
Week 50,14 Dec 2022,13000,15500,19750,13000,Week 50|2022-12-14
Week 51,21 Dec 2022,12500,15500,19500,13000,Week 51|2022-12-21
Week 1,04 Jan 2022,11500,14000,18500,12000,Week 1|2022-01-04
Week 1,04 Jan 2023,11500,14000,18500,12000,Week 1|2023-01-04
Week 1,04 Jan 2023,11500,14000,18500,12000,Week 1|2023-01-04
Week 1,04 Jan 2023,11500,14000,18500,12000,Week 1|2023-01-04
Week 2,11 Jan 2022,12500,14000,18000,13500,Week 2|2022-01-11
Week 2,11 Jan 2022,12500,14000,18000,13500,Week 2|2022-01-11
Week 2,11 Jan 2023,12500,14000,18000,13500,Week 2|2023-01-11
Week 3,18 Jan 2023,12500,14000,17250,14250,Week 3|2023-01-18
Week 3,18 Jan 2023,12500,14000,17250,14250,Week 3|2023-01-18
Week 3,18 Jan 2023,12500,14000,17250,14250,Week 3|2023-01-18
Week 3,18 Jan 2023,12500,14000,17250,14250,Week 3|2023-01-18
Week 4,25 Jan 2023,10000,10500,17200,13250,Week 4|2023-01-25
Week 5,01 Feb 2023,9500,12750,16900,13500,Week 5|2023-02-01
Week 6,08 Feb 2023,10000,12750,16500,13250,Week 6|2023-02-08
Week 7,15 Feb 2023,10000,11000,14000,13250,Week 7|2023-02-15
Week 8,22 Feb 2023,11000,11750,13850,13250,Week 8|2023-02-22
Week 9,01 Mar 2023,12500,14250,17750,15500,Week 9|2023-03-01
Week 9,01 Mar 2023,13000,14250,18250,15500,Week 9|2023-03-01
Week 10,07 Mar 2023,13000,14250,18250,15500,Week 10|2023-03-07
Week 11,15 Mar 2023,12500,14250,18250,16000,Week 11|2023-03-15
Week 12,22 Mar 2023,13000,15000,17850,17250,Week 12|2023-03-22
Week 13,29 Mar 2023,14000,15500,17850,18500,Week 13|2023-03-29
Week 14,05 Apr 2023,13000,16000,18850,18500,Week 14|2023-04-05
Week 15,12 Apr 2023,12500,15000,20000,18500,Week 15|2023-04-12
Week 16,19 Apr 2023,13000,15500,19000,18500,Week 16|2023-04-19
Week 17,26 Apr 2023,13000,15500,19250,18500,Week 17|2023-04-26
Week 18,03 May 2023,13000,15500,18000,18000,Week 18|2023-05-03
Week 19,10 May 2023,12500,15500,16750,21000,Week 19|2023-05-10
Week 19,10 May 2023,12500,15500,16750,21000,Week 19|2023-05-10
Week 19,10 May 2023,12500,15500,16750,21000,Week 19|2023-05-10
Week 19,10 May 2023,12500,15500,16750,21000,Week 19|2023-05-10
Week 19,10 May 2023,12500,15500,16750,21000,Week 19|2023-05-10
Week 20,17 May 2023,12000,15500,16000,18000,Week 20|2023-05-17
Week 21,24 May 2023,12500,15000,14000,16000,Week 21|2023-05-24
Week 22,31 May 2023,12000,13500,13000,16000,Week 22|2023-05-31
Week 23,07 Jun 2023,10500,12000,13250,14000,Week 23|2023-06-07
Week 24,14 Jun 2023,10500,12000,13250,14750,Week 24|2023-06-14
Week 25,20 Jun 2023,9500,11500,13250,14750,Week 25|2023-06-20
Week 25,20 Jun 2023,9500,11500,13250,14750,Week 25|2023-06-20
Week 25,20 Jun 2023,9500,11500,13250,14750,Week 25|2023-06-20
Week 26,28 Jun 2023,10000,11000,13250,15000,Week 26|2023-06-28
Week 27,05 Jul 2023,10000,11000,13250,15000,Week 27|2023-07-05
Week 28,12 Jul 2023,10000,11000,12950,14000,Week 28|2023-07-12
Week 29,19 Jul 2023,10000,11000,13750,14000,Week 29|2023-07-19
Week 30,26 Jul 2023,9000,10500,13750,14000,Week 30|2023-07-26
Week 31,02 Aug 2023,9000,10500,13750,14000,Week 31|2023-08-02
Week 31,02 Aug 2023,9000,10500,13750,14000,Week 31|2023-08-02
Week 32,09 Aug 2023,9000,10500,13750,14000,Week 32|2023-08-09
Week 33,16 Aug 2023,9000,10500,14000,14000,Week 33|2023-08-16
Week 34,23 Aug 2023,9250,11000,13500,14500,Week 34|2023-08-23
Week 34,23 Aug 2023,9250,11000,13500,14500,Week 34|2023-08-23
Week 34,23 Aug 2023,9250,11000,13500,14500,Week 34|2023-08-23
Week 35,30 Aug 2023,10000,12750,14650,14000,Week 35|2023-08-30
Week 36,06 Sep 2023,10000,12500,14250,13000,Week 36|2023-09-06
Week 38,20 Sep 2023,13000,16000,14250,15000,Week 38|2023-09-20
Week 39,27 Sep 2023,13500,16000,14250,15000,Week 39|2023-09-27
Week 40,04 Oct 2023,13000,16000,14250,15000,Week 40|2023-10-04
Week 41,11 Oct 2023,12000,15500,14250,15000,Week 41|2023-10-11
Week 42,18 Oct 2023,12000,16000,14000,15500,Week 42|2023-10-18
Week 43,24 Oct 2023,12000,16000,13850,15500,Week 43|2023-10-24
Week 43,25 Oct 2023,12000,16000,13850,15500,Week 43|2023-10-25
Week 44,01 Nov 2023,11500,14250,13250,15500,Week 44|2023-11-01
Week 44,01 Nov 2023,11500,14250,13250,15500,Week 44|2023-11-01
Week 45,08 Nov 2023,11500,13000,12750,14000,Week 45|2023-11-08
Week 45,08 Nov 2023,11500,13000,12750,14000,Week 45|2023-11-08
Week 45,08 Nov 2023,11500,13000,12750,14000,Week 45|2023-11-08
Week 46,15 Nov 2023,10500,14500,12750,14000,Week 46|2023-11-15
Week 47,22 Nov 2023,10500,14500,13900,14500,Week 47|2023-11-22
Week 47,22 Nov 2023,10500,14500,13900,14500,Week 47|2023-11-22
Week 48,29 Nov 2023,10500,14750,13900,15000,Week 48|2023-11-29
Week 48,29 Nov 2023,10500,14750,13900,15000,Week 48|2023-11-29
Week 48,29 Nov 2023,10500,14750,13900,22000,Week 48|2023-11-29
Week 48,29 Nov 2023,14000,16500,14000,22000,Week 48|2023-11-29
Week 48,29 Nov 2023,14000,16500,14000,22000,Week 48|2023-11-29
Week 49,06 Dec 2023,14000,16500,14000,22000,Week 49|2023-12-06
Week 49,12 Dec 2023,16500,18500,14000,20000,Week 49|2023-12-12
Week 51,20 Dec 2023,15500,18500,20000,20000,Week 51|2023-12-20
Week 52,27 Dec 2023,15500,18500,20000,20000,Week 52|2023-12-27
Week 1,03 Jan 2024,15250,18500,23750,20000,Week 1|2024-01-03
Week 2,10 Jan 2024,12250,15000,21250,20000,Week 2|2024-01-10
Week 3,17 Jan 2023,12500,15000,19000,20000,Week 3|2023-01-17
Week 4,24 Jan 2023,12750,15500,20000,20000,Week 4|2023-01-24
Week 5,31 Jan 2023,13450,15500,20500,21000,Week 5|2023-01-31
Week 6,07 Feb 2024,12450,15500,20000,23000,Week 6|2024-02-07
Week 7,14 Feb 2024,13250,16000,20000,23000,Week 7|2024-02-14
Week 8,21 Feb 2024,12850,16000,19500,23000,Week 8|2024-02-21
Week 9,28 Feb 2024,13000,16000,19000,26500,Week 9|2024-02-28
Week 10,09 Mar 2024,13000,16000,20850,31000,Week 10|2024-03-09
Week 11,12 Mar 2024,13000,16000,22500,29500,Week 11|2024-03-12
Week 12,20 Mar 2024,13600,17250,21500,29500,Week 12|2024-03-20
Week 13,27 Mar 2024,13850,19750,23000,25500,Week 13|2024-03-27
Week 14,03 Apr 2024,13850,16250,20850,25500,Week 14|2024-04-03
Week 15,10 Apr 2024,13500,15000,20850,24000,Week 15|2024-04-10
Week 15,10 Apr 2024,13500,15000,20850,24000,Week 15|2024-04-10
Week 16,17 Apr 2024,14000,14750,21000,25000,Week 16|2024-04-17
Week 17,24 Apr 2024,14000,16500,22000,25000,Week 17|2024-04-24
Week 18,01 May 2024,14000,16500,22000,24000,Week 18|2024-05-01
Week 19,08 May 2024,14000,16750,22250,24000,Week 19|2024-05-08
Week 20,15 May 2024,14000,16750,22250,24000,Week 20|2024-05-15
Week 21,22 May 2024,14000,16750,21500,24000,Week 21|2024-05-22
Week 22,27 May 2024,12500,16000,21000,24000,Week 22|2024-05-27
Week 23,05 Jun 2024,12500,16000,21000,24000,Week 23|2024-06-05
Week 24,12 Jun 2024,12500,18000,21000,24000,Week 24|2024-06-12
Week 25,19 Jun 2024,12500,18000,22500,24000,Week 25|2024-06-19
Week 25,19 Jun 2024,12500,18000,22500,24000,Week 25|2024-06-19
Week 26,26 Jun 2024,13000,17500,21500,24000,Week 26|2024-06-26
Week 27,03 Jul 2024,13000,16000,21500,40000,Week 27|2024-07-03
Week 28,10 Jul 2024,13000,17000,20500,30000,Week 28|2024-07-10
Week 29,17 Jul 2024,13500,18000,20500,27500,Week 29|2024-07-17
Week 29,17 Jul 2024,13500,18000,20500,25000,Week 29|2024-07-17
Week 29,17 Jul 2024,13500,18000,20500,25000,Week 29|2024-07-17
Week 30,24 Jul 2024,13500,18000,20500,25000,Week 30|2024-07-24
Week 31,31 Jul 2024,13500,17000,21000,25000,Week 31|2024-07-31
Week 32,07 Aug 2024,13500,17000,21000,24000,Week 32|2024-08-07
Week 33,14 Aug 2024,13500,17000,21000,24000,Week 33|2024-08-14
Week 34,21 Aug 2024,13500,16850,20500,24000,Week 34|2024-08-21
Week 35,28 Aug 2024,13500,16850,19000,24000,Week 35|2024-08-28
Week 36,04 Sep 2024,13250,16000,18500,24000,Week 36|2024-09-04
Week 36,04 Sep 2024,12500,15250,17000,24000,Week 36|2024-09-04
Week 37,11 Sep 2024,12500,15250,17000,24000,Week 37|2024-09-11
Week 37,11 Sep 2024,12250,16000,17500,24000,Week 37|2024-09-11
Week 38,18 Sep 2024,12250,16000,17500,24000,Week 38|2024-09-18
Week 39,25 Sep 2024,13000,15500,16000,24000,Week 39|2024-09-25
Week 40,02 Oct 2024,14000,16500,16000,26000,Week 40|2024-10-02
Week 41,09 Oct 2024,13500,16500,16000,26000,Week 41|2024-10-09
Week 42,16 Oct 2024,13500,16500,16000,25000,Week 42|2024-10-16
Week 43,23 Oct 2024,13000,16500,15850,25000,Week 43|2024-10-23
Week 44,30 Oct 2024,13000,16000,15850,21000,Week 44|2024-10-30
Week 45,06 Nov 2024,13000,16000,15850,20000,Week 45|2024-11-06
Week 46,13 Nov 2024,12500,15500,15500,20000,Week 46|2024-11-13
Week 47,20 Nov 2024,13000,16000,14500,22000,Week 47|2024-11-20
Week 48,27 Nov 2024,13000,15500,13500,21500,Week 48|2024-11-27
Week 45,04 Nov 2024,13000,15500,12500,20000,Week 45|2024-11-04
Week 50,11 Dec 2024,13000,15000,13000,20000,Week 50|2024-12-11
Week 51,18 Dec 2024,13000,14500,13000,17000,Week 51|2024-12-18
Week 2,08 Jan 2025,10000,11500,13000,16000,Week 2|2025-01-08
Week 3,15 Jan 2025,10000,12500,13000,18500,Week 3|2025-01-15
Week 3,15 Jan 2025,10000,12500,12000,18500,Week 3|2025-01-15
Week 3,15 Jan 2025,10000,12500,12000,18500,Week 3|2025-01-15
Week 4,22 Jan 2025,9750,12000,12000,18500,Week 4|2025-01-22
Week 4,22 Jan 2025,9750,12000,12000,18500,Week 4|2025-01-22
Week 5,29 Jan 2025,9750,12000,11000,18000,Week 5|2025-01-29
Week 6,05 Feb 2025,9750,12000,12000,17500,Week 6|2025-02-05
Week 7,12 Feb 2025,9500,12000,12250,19000,Week 7|2025-02-12
Week 8,19 Feb 2025,9500,12000,12250,19000,Week 8|2025-02-19
Week 9,26 Feb 2025,9500,12000,13250,19000,Week 9|2025-02-26
Week 10,05 Mar 2025,10000,12750,13000,20000,Week 10|2025-03-05
Week 11,12 Mar 2025,11500,13500,13650,22500,Week 11|2025-03-12
Week 12,19 Mar 2025,11500,13500,13650,22500,Week 12|2025-03-19
Week 13,26 Mar 2025,12000,14000,15650,22000,Week 13|2025-03-26
Week 14,02 Apr 2025,12750,14250,16000,22000,Week 14|2025-04-02
Week 15,09 Apr 2025,13000,14250,14750,22000,Week 15|2025-04-09
Week 16,16 Apr 2025,13000,14250,14000,22000,Week 16|2025-04-16
Week 17,23 Apr 2025,11500,13500,14500,19750,Week 17|2025-04-23
Week 18,30 Apr 2025,10750,13500,15350,19000,Week 18|2025-04-30
Week 19,07 May 2025,10000,13000,14000,19000,Week 19|2025-05-07
Week 20,14 May 2025,10000,13750,14500,19000,Week 20|2025-05-14
Week 21,21 May 2025,10000,13750,14500,19000,Week 21|2025-05-21
Week 22,28 May 2025,10000,13750,14500,19000,Week 22|2025-05-28
Week 22,28 May 2025,10000,13750,14500,19000,Week 22|2025-05-28
Week 23,04 Jun 2025,10000,13750,13500,19000,Week 23|2025-06-04
Week 24,11 Jun 2025,10000,13750,15750,19000,Week 24|2025-06-11
Week 25,18 Jun 2006,10000,13750,16500,19000,Week 25|2006-06-18
Week 26,25 Jun 2025,10000,13750,16500,19000,Week 26|2025-06-25
Week 27,02 Jul 2025,10000,13750,16000,19500,Week 27|2025-07-02
Week 28,09 Jul 2025,10000,13750,14000,19500,Week 28|2025-07-09
Week 29,16 Jul 2025,11500,15000,19750,19500,Week 29|2025-07-16
Week 30,23 Jul 2025,12000,15000,18500,20500,Week 30|2025-07-23
Week 31,30 Jul 2025,12000,16000,18500,21500,Week 31|2025-07-30
Week 31,30 Jul 2025,12000,16000,14000,21500,Week 31|2025-07-30
Week 33,13 Aug 2025,12000,16000,17000,21500,Week 33|2025-08-13
Week 34,20 Aug 2025,12000,16000,16500,21500,Week 34|2025-08-20
Week 35,27 Aug 2025,13000,16500,15500,21500,Week 35|2025-08-27
Week 36,03 Sep 2025,13000,17000,21000,21500,Week 36|2025-09-03
Week 37,10 Sep 2025,13000,17000,22500,22500,Week 37|2025-09-10
Week 38,17 Sep 2025,13000,17000,21500,22750,Week 38|2025-09-17
Week 39,24 Sep 2025,13000,17000,20000,30000,Week 39|2025-09-24
Week 40,01 Oct 2025,14750,17000,18000,28500,Week 40|2025-10-01
Week 41,08 Oct 2025,15000,17250,17500,26500,Week 41|2025-10-08
Week 42,15 Oct 2025,15000,17000,17500,24000,Week 42|2025-10-15
Week 43,22 Oct 2025,15000,17000,20000,24000,Week 43|2025-10-22
Week 44,29 Oct 2025,15000,17000,20000,24000,Week 44|2025-10-29
Week 44,29 Oct 2025,14250,16250,20000,24000,Week 44|2025-10-29
Week 45,05 Nov 2025,13250,16250,18000,24000,Week 45|2025-11-05
Week 46,12 Nov 2025,13500,16250,18000,24000,Week 46|2025-11-12
Week 47,19 Nov 2025,14000,16250,18500,24000,Week 47|2025-11-19
Week 48,26 Nov 2025,15000,17250,20750,24000,Week 48|2025-11-26
Week 48,26 Nov 2025,15000,17250,20750,24000,Week 48|2025-11-26
Week 49,03 Dec 2025,15000,17250,20500,24000,Week 49|2025-12-03
Week 50,10 Dec 2025,15000,17250,19500,24500,Week 50|2025-12-10
Week 50,10 Dec 2025,15000,17250,19500,24500,Week 50|2025-12-10
Week 51,17 Dec 2025,14500,16850,17500,24000,Week 51|2025-12-17
Week 2,07 Jan 2026,12500,13000,15000,23500,Week 2|2026-01-07
Week 3,14 Jan 2026,12500,14500,15000,23500,Week 3|2026-01-14
Week 4,21 Jan 2026,13000,15000,17000,32000,Week 4|2026-01-21
Week 5,28 Jan 2026,13500,16000,18000,32000,Week 5|2026-01-28
Week 6,04 Feb 2026,13000,15500,18000,32000,Week 6|2026-02-04
Week 7,11 Feb 2026,13500,15500,19000,32000,Week 7|2026-02-11
Week 8,18 Feb 2026,14750,16250,19000,33500,Week 8|2026-02-18
Week 8,18 Feb 2026,14750,16250,19000,33500,Week 8|2026-02-18
Week 9,25 Feb 2026,14750,17000,19000,32000,Week 9|2026-02-25
Week 10,04 Mar 2026,15250,17250,22000,32000,Week 10|2026-03-04
Week 11,11 Mar 2026,14500,18250,20500,31000,Week 11|2026-03-11
Week 12,18 Mar 2026,16500,18750,19000,30000,Week 12|2026-03-18
Week 13,25 Mar 2026,16500,18250,19500,30000,Week 13|2026-03-25
Week 14,01 Apr 2026,16250,18250,19250,30000,Week 14|2026-04-01
Week 15,08 Apr 2026,15750,18250,19250,30000,Week 15|2026-04-08
Week 16,15 Apr 2026,15750,18250,22000,30000,Week 16|2026-04-15
Week 17,22 Apr 2026,16250,18250,22000,30000,Week 17|2026-04-22
Week 18,29 Apr 2026,17000,19000,22500,30000,Week 18|2026-04-29
Week 19,06 May 2026,16500,19000,22500,30000,Week 19|2026-05-06
Week 20,13 May 2026,14500,20000,21500,32500,Week 20|2026-05-13
Week 21,20 May 2026,16850,19500,21500,33000,Week 21|2026-05-20
Week 22,27 May 2026,17500,19500,24000,33000,Week 22|2026-05-27
Week 23,03 Jun 2026,17200,19500,24000,33000,Week 23|2026-06-03
Week 24,10 Jun 2026,17200,19500,22000,32000,Week 24|2026-06-10
Week 25,17 Jun 2026,18000,20500,22000,32000,Week 25|2026-06-17
Week 26,24 Jun 2026,19500,22000,22000,32000,Week 26|2026-06-24
Week 27,01 Jul 2026,19500,23000,22000,32000,Week 27|2026-07-01
Week 27,01 Jul 2026,19500,23000,22000,32000,Week 27|2026-07-01
Week 28,08 Jul 2026,19500,23000,24500,32000,Week 28|2026-07-08
Week 29,15 Jul 2026,20000,23000,25500,32000,Week 29|2026-07-15
Week 30,22 Jul 2026,20500,23000,25000,50000,Week 30|2026-07-22
Week 31,29 Jul 2026,20750,23000,25000,48500,Week 31|2026-07-29
Week 32,05 Aug 2026,20750,22000,24000,48500,Week 32|2026-08-05
Week 33,12 Aug 2026,21000,23250,23500,48500,Week 33|2026-08-12
