date,week,month,year,port,in_port,loaded_7_days,due_10_days
1999-12-16,50,12,1999,Gulf,47,61.0,68.0
1999-12-23,51,12,1999,PNW,9,,
1999-12-23,51,12,1999,Gulf,34,50.0,63.0
1999-12-30,52,12,1999,PNW,10,,
1999-12-30,52,12,1999,Gulf,15,42.0,34.0
2000-01-06,1,1,2000,PNW,10,,
2000-01-06,1,1,2000,Gulf,38,39.0,70.0
2000-01-13,2,1,2000,PNW,13,,
2000-01-13,2,1,2000,Gulf,41,51.0,63.0
2000-01-20,3,1,2000,Gulf,31,49.0,69.0
2000-01-20,3,1,2000,PNW,10,,
2000-01-27,4,1,2000,PNW,12,,
2000-01-27,4,1,2000,Gulf,33,54.0,74.0
2000-02-03,5,1,2000,PNW,9,,
2000-02-03,5,1,2000,Gulf,40,48.0,70.0
2000-02-10,6,2,2000,PNW,10,,
2000-02-10,6,2,2000,Gulf,48,55.0,60.0
2000-02-17,7,2,2000,PNW,10,,
2000-02-17,7,2,2000,Gulf,42,52.0,64.0
2000-02-24,8,2,2000,Gulf,37,51.0,66.0
2000-02-24,8,2,2000,PNW,10,,
2000-03-02,9,2,2000,PNW,10,,
2000-03-02,9,2,2000,Gulf,50,44.0,65.0
2000-03-09,10,3,2000,PNW,9,,
2000-03-09,10,3,2000,Gulf,47,52.0,58.0
2000-03-16,11,3,2000,PNW,9,,
2000-03-16,11,3,2000,Gulf,40,50.0,68.0
2000-03-23,12,3,2000,PNW,13,,
2000-03-23,12,3,2000,Gulf,42,50.0,59.0
2000-03-30,13,3,2000,PNW,4,,
2000-03-30,13,3,2000,Gulf,34,53.0,66.0
2000-04-06,14,4,2000,Gulf,26,46.0,53.0
2000-04-06,14,4,2000,PNW,8,,
2000-04-13,15,4,2000,Gulf,24,47.0,59.0
2000-04-13,15,4,2000,PNW,8,,
2000-04-20,16,4,2000,PNW,10,,
2000-04-20,16,4,2000,Gulf,33,46.0,57.0
2000-04-27,17,4,2000,PNW,11,,
2000-04-27,17,4,2000,Gulf,28,39.0,59.0
2000-05-04,18,5,2000,PNW,7,,
2000-05-04,18,5,2000,Gulf,29,39.0,47.0
2000-05-11,19,5,2000,PNW,12,,
2000-05-11,19,5,2000,Gulf,23,44.0,59.0
2000-05-18,20,5,2000,Gulf,23,46.0,63.0
2000-05-18,20,5,2000,PNW,10,,
2000-05-25,21,5,2000,PNW,10,,
2000-05-25,21,5,2000,Gulf,27,42.0,58.0
2000-06-01,22,5,2000,PNW,11,,
2000-06-01,22,5,2000,Gulf,23,43.0,56.0
2000-06-08,23,6,2000,PNW,11,,
2000-06-08,23,6,2000,Gulf,25,51.0,53.0
2000-06-15,24,6,2000,PNW,10,,
2000-06-15,24,6,2000,Gulf,27,42.0,67.0
2000-06-22,25,6,2000,PNW,10,,
2000-06-22,25,6,2000,Gulf,27,41.0,77.0
2000-06-29,26,6,2000,PNW,7,,
2000-06-29,26,6,2000,Gulf,36,48.0,64.0
2000-07-06,27,7,2000,PNW,5,,
2000-07-06,27,7,2000,Gulf,37,43.0,73.0
2000-07-13,28,7,2000,PNW,7,,
2000-07-13,28,7,2000,Gulf,34,52.0,59.0
2000-07-20,29,7,2000,PNW,9,,
2000-07-20,29,7,2000,Gulf,27,57.0,63.0
2000-07-27,30,7,2000,Gulf,35,49.0,61.0
2000-07-27,30,7,2000,PNW,9,,
2000-08-03,31,7,2000,PNW,5,,
2000-08-03,31,7,2000,Gulf,28,51.0,75.0
2000-08-10,32,8,2000,PNW,9,,
2000-08-10,32,8,2000,Gulf,37,44.0,68.0
2000-08-17,33,8,2000,PNW,10,,
2000-08-17,33,8,2000,Gulf,30,52.0,67.0
2000-08-24,34,8,2000,PNW,11,,
2000-08-24,34,8,2000,Gulf,39,54.0,74.0
2000-08-31,35,8,2000,Gulf,34,54.0,71.0
2000-08-31,35,8,2000,PNW,4,,
2000-09-07,36,9,2000,PNW,9,,
2000-09-07,36,9,2000,Gulf,45,48.0,64.0
2000-09-14,37,9,2000,PNW,15,,
2000-09-14,37,9,2000,Gulf,48,49.0,67.0
2000-09-21,38,9,2000,PNW,10,,
2000-09-21,38,9,2000,Gulf,50,49.0,74.0
2000-09-28,39,9,2000,PNW,8,,
2000-09-28,39,9,2000,Gulf,41,55.0,67.0
2000-10-05,40,10,2000,PNW,8,,
2000-10-05,40,10,2000,Gulf,40,52.0,65.0
2000-10-12,41,10,2000,Gulf,48,56.0,74.0
2000-10-12,41,10,2000,PNW,11,,
2000-10-19,42,10,2000,PNW,11,,
2000-10-19,42,10,2000,Gulf,36,55.0,61.0
2000-10-26,43,10,2000,PNW,13,,
2000-10-26,43,10,2000,Gulf,25,52.0,56.0
2000-11-02,44,10,2000,PNW,10,,
