date,port,basin,total_tonnes,share_of_national_pct,source_url
2023-12-01,ROSARIO,Up-River Parana,882367.0,24.37,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/12_diciembre_2022-2023.php
2023-12-01,SAN LORENZO,Up-River Parana,2143337.0,59.2,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/12_diciembre_2022-2023.php
2023-12-01,SAN PEDRO,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/12_diciembre_2022-2023.php
2023-12-01,VILLA CONSTITUCIÓN,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/12_diciembre_2022-2023.php
2023-12-01,ZARATE,Up-River Parana,11389.0,0.31,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/12_diciembre_2022-2023.php
2024-01-01,BAHIA BLANCA,Ocean Deepwater,649903.0,10.84,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/1_enero_2023-2024.php
2024-01-01,NECOCHEA,Ocean Deepwater,1021603.0,17.03,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/1_enero_2023-2024.php
2024-01-01,RAMALLO,Up-River Parana,66146.0,1.1,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/1_enero_2023-2024.php
2024-01-01,ROSARIO,Up-River Parana,1117284.0,18.63,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/1_enero_2023-2024.php
2024-01-01,SAN LORENZO,Up-River Parana,3098941.0,51.67,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/1_enero_2023-2024.php
